Description:
Start date: 2025-04-09 00:00:00
End date: 2025-04-10 00:00:00
Sampling interval: 30T
Animal: Animal 13
Tag: 263000247228
Sex: Male
Cage: 4

Data:
date, duration, values, day
2025-04-09 00:00:00,0.0,0,2025-04-09
2025-04-09 00:30:00,0.0,0,2025-04-09
2025-04-09 01:00:00,0.0,0,2025-04-09
2025-04-09 01:30:00,0.0,0,2025-04-09
2025-04-09 02:00:00,0.0,0,2025-04-09
2025-04-09 02:30:00,0.0,0,2025-04-09
2025-04-09 03:00:00,0.0,0,2025-04-09
2025-04-09 03:30:00,0.0,0,2025-04-09
2025-04-09 04:00:00,0.0,0,2025-04-09
2025-04-09 04:30:00,0.0,0,2025-04-09
2025-04-09 05:00:00,0.0,0,2025-04-09
2025-04-09 05:30:00,0.0,0,2025-04-09
2025-04-09 06:00:00,0.0,0,2025-04-09
2025-04-09 06:30:00,0.0,0,2025-04-09
2025-04-09 07:00:00,0.0,0,2025-04-09
2025-04-09 07:30:00,0.0,0,2025-04-09
2025-04-09 08:00:00,0.0,0,2025-04-09
2025-04-09 08:30:00,0.0,0,2025-04-09
2025-04-09 09:00:00,0.0,0,2025-04-09
2025-04-09 09:30:00,0.0,0,2025-04-09
2025-04-09 10:00:00,0.0,0,2025-04-09
2025-04-09 10:30:00,0.0,0,2025-04-09
2025-04-09 11:00:00,0.0,0,2025-04-09
2025-04-09 11:30:00,0.0,0,2025-04-09
2025-04-09 12:00:00,0.0,0,2025-04-09
2025-04-09 12:30:00,0.0,0,2025-04-09
2025-04-09 13:00:00,0.0,0,2025-04-09
2025-04-09 13:30:00,0.0,0,2025-04-09
2025-04-09 14:00:00,0.0,0,2025-04-09
2025-04-09 14:30:00,0.0,0,2025-04-09
2025-04-09 15:00:00,0.0,0,2025-04-09
2025-04-09 15:30:00,0.0,0,2025-04-09
2025-04-09 16:00:00,0.0,0,2025-04-09
2025-04-09 16:30:00,0.0,0,2025-04-09
2025-04-09 17:00:00,0.0,0,2025-04-09
2025-04-09 17:30:00,0.0,0,2025-04-09
2025-04-09 18:00:00,0.0,0,2025-04-09
2025-04-09 18:30:00,0.0,0,2025-04-09
2025-04-09 19:00:00,0.0,0,2025-04-09
2025-04-09 19:30:00,0.0,0,2025-04-09
2025-04-09 20:00:00,0.0,0,2025-04-09
2025-04-09 20:30:00,0.0,0,2025-04-09
2025-04-09 21:00:00,8.502,1,2025-04-09
2025-04-09 21:30:00,448.72,5,2025-04-09
2025-04-09 22:00:00,283.078,4,2025-04-09
2025-04-09 22:30:00,258.841,5,2025-04-09
2025-04-09 23:00:00,202.528,4,2025-04-09
2025-04-09 23:30:00,405.056,4,2025-04-09
2025-04-10 00:00:00,796.599,5,2025-04-10
2025-04-10 00:30:00,283.656,4,2025-04-10
2025-04-10 01:00:00,49.437,7,2025-04-10
2025-04-10 01:30:00,792.934,9,2025-04-10
2025-04-10 02:00:00,176.733,5,2025-04-10
2025-04-10 02:30:00,229.836,3,2025-04-10
2025-04-10 03:00:00,371.343,7,2025-04-10
2025-04-10 03:30:00,61.058,2,2025-04-10
2025-04-10 04:00:00,97.998,4,2025-04-10
2025-04-10 04:30:00,1299.801,7,2025-04-10
2025-04-10 05:00:00,400.232,6,2025-04-10
2025-04-10 05:30:00,25.709,4,2025-04-10
2025-04-10 06:00:00,576.141,5,2025-04-10
2025-04-10 06:30:00,636.714,8,2025-04-10
2025-04-10 07:00:00,224.599,3,2025-04-10
2025-04-10 07:30:00,726.968,5,2025-04-10
2025-04-10 08:00:00,812.878,6,2025-04-10
2025-04-10 08:30:00,0.0,0,2025-04-10
2025-04-10 09:00:00,584.341,3,2025-04-10
2025-04-10 09:30:00,1800.0,0,2025-04-10
2025-04-10 10:00:00,165.952,1,2025-04-10
2025-04-10 10:30:00,390.438,7,2025-04-10
2025-04-10 11:00:00,0.0,0,2025-04-10
2025-04-10 11:30:00,0.0,0,2025-04-10
2025-04-10 12:00:00,0.0,0,2025-04-10
2025-04-10 12:30:00,0.0,0,2025-04-10
2025-04-10 13:00:00,0.0,0,2025-04-10
2025-04-10 13:30:00,0.0,0,2025-04-10
2025-04-10 14:00:00,0.0,0,2025-04-10
2025-04-10 14:30:00,0.0,0,2025-04-10
2025-04-10 15:00:00,0.0,0,2025-04-10
2025-04-10 15:30:00,0.0,0,2025-04-10
2025-04-10 16:00:00,0.0,0,2025-04-10
2025-04-10 16:30:00,0.0,0,2025-04-10
2025-04-10 17:00:00,0.0,0,2025-04-10
2025-04-10 17:30:00,0.0,0,2025-04-10
2025-04-10 18:00:00,0.0,0,2025-04-10
2025-04-10 18:30:00,0.0,0,2025-04-10
2025-04-10 19:00:00,0.0,0,2025-04-10
2025-04-10 19:30:00,0.0,0,2025-04-10
2025-04-10 20:00:00,0.0,0,2025-04-10
2025-04-10 20:30:00,0.0,0,2025-04-10
2025-04-10 21:00:00,0.0,0,2025-04-10
2025-04-10 21:30:00,0.0,0,2025-04-10
2025-04-10 22:00:00,0.0,0,2025-04-10
2025-04-10 22:30:00,0.0,0,2025-04-10
2025-04-10 23:00:00,0.0,0,2025-04-10
2025-04-10 23:30:00,0.0,0,2025-04-10
